Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
arcade,0.0004913736377904668,0.00028530464161625373,0.0008370913894221401,0.00031722145300960467,0.0009642980410318152
arch,0.000491326878716926,0.00028529006810661784,0.0012643639269950932,0.00031721736194534897,0.0019080979852794393
archaeological,0.0004913293427263632,0.00028529426129420704,0.00036457044155840956,0.001811682130690846,0.0009086765183693796
architecture,0.0018844202130219331,0.0002990377039469212,0.002352345633974462,0.00031719868264682593,0.00038732113872056714
arctic,0.0004912632010289937,0.0002856989471937194,0.006345418619472387,0.0003171568605349074,0.00038964804743581833
area,0.0017344693263081409,0.0002883520791584888,0.008109377450148416,0.000330257217204461,0.00038690957401973214
arena,0.0004912703635870275,0.00028527517559653485,0.00036453831601751985,0.00031716227124935627,0.001071395944134497
arranging,0.0004912671263384671,0.00028527320035124314,0.00036452889604787834,0.0011984761089686552,0.000386861665874112
art,0.0004912613597390216,0.00028527124925184624,0.00036452656189029563,0.0003171613427682814,0.0014921337952382993
arthropod,0.0004912976033066925,0.004710552655171009,0.0003645459145388324,0.0003171702863664373,0.0028629858806178375
arts,0.0010428598056723291,0.00028533271655504003,0.000884784687522029,0.003363666976593398,0.0008141827635884262
arums,0.0004912690826841565,0.00028527429873750876,0.0003645302845208966,0.0003171595612592015,0.0009707030338688322
ash,0.00049130500130387,0.0002852862022049594,0.00036453666144304443,0.0009651253058742093,0.00038686702521258386
asphalt,0.0004912852536757748,0.0002852791967952277,0.00036454059284406773,0.0008215346329023987,0.0003868729318373016
astronaut,0.0004912901103396067,0.0002852763961660215,0.00036453544074095136,0.0008975447268565572,0.0003868665489475044
astronomical,0.0055142148590494825,0.00028527935295341404,0.0003645393604586294,0.00352625226266007,0.0003868708142235623
astronomy,0.006015048419114793,0.0002852826196153287,0.0003645444081816323,0.001251205771520858,0.0003868762518776225
atlantic,0.0004913223350933263,0.0002852820365977477,0.0003645606550927977,0.0003171639616165312,0.001018870744759368
atmospheric,0.00104987357404822,0.003058379224367639,0.0014185462208656991,0.001486977706040119,0.00038804855987865396
attraction,0.0004912637824426091,0.00028627225448945876,0.000364527897058961,0.0017003882338956586,0.00038685818270698795
audience,0.000491316746277373,0.0002852896341052811,0.0003645576493801016,0.00031717945536912685,0.0018720479784013646
auk,0.0004913223350933263,0.0002852820365977477,0.0003645606550927977,0.0003171639616165312,0.001018870744759368
aurora,0.000491275631161856,0.0002852748502352769,0.0003673182875024891,0.002223352456826761,0.0003868626523361966
automotive,0.0004912667893120543,0.0035626723384304675,0.00036452941399028264,0.0003184284616604686,0.00038685931461750504
autumn,0.0004913222002226952,0.0002852926045857598,0.001587622168379837,0.0014714577060255573,0.00039622625923068814
aviation,0.0004912731419666686,0.00028527526250632504,0.0003645329995334778,0.0012665700470417436,0.0003868642188817153
